"wrkstat","wrkslf","wrkgovt","occ10","indus10","age","educ","sex","race","year","parsol","joblose","jobfind","satjob","satfin","coninc","conrinc","prestg10","prestg105plus","dwelown"
1,2,NA,2430,6970,65,16,2,1,1990,NA,4,2,3,2,43589,36883,55,73,2
1,2,NA,5240,6480,42,20,1,1,1990,NA,4,1,2,2,43589,43589,31,20,NA
1,2,NA,4820,6970,25,16,1,1,1990,NA,4,1,1,1,NA,NA,58,72,2
1,2,NA,5600,6670,39,14,2,1,1990,NA,4,2,2,3,43589,43589,40,39,2
5,1,NA,6260,770,55,8,1,2,1990,NA,NA,NA,NA,2,12071,NA,28,23,2
7,2,NA,8320,1680,82,8,2,2,1990,NA,NA,NA,NA,1,12071,NA,32,22,2
1,2,NA,2330,7860,54,19,2,2,1990,NA,4,1,1,2,NA,NA,61,83,2
1,2,NA,4760,5180,61,12,1,1,1990,NA,4,3,2,3,115822,50295,31,18,2
1,2,NA,2540,7860,53,14,2,1,1990,NA,4,3,2,3,115822,21795,48,50,1
5,2,NA,5540,6370,68,12,1,1,1990,NA,NA,NA,NA,1,43589,NA,45,46,NA
7,2,NA,5700,6870,69,12,2,1,1990,NA,NA,NA,2,2,21795,NA,47,55,2
5,2,NA,7330,4180,79,5,1,1,1990,NA,NA,NA,NA,3,NA,NA,38,37,NA
5,2,NA,5810,1680,65,10,2,1,1990,NA,NA,NA,NA,2,6035,NA,37,29,NA
7,NA,NA,NA,NA,79,12,2,1,1990,NA,NA,NA,2,3,NA,NA,NA,NA,2
5,2,NA,9600,6390,66,6,1,2,1990,NA,NA,NA,NA,1,36883,NA,35,28,1
7,2,NA,3800,9470,28,12,2,2,1990,NA,NA,NA,3,3,NA,NA,40,39,2
5,1,NA,6440,770,89,14,1,1,1990,NA,NA,NA,NA,2,NA,NA,43,50,NA
5,2,NA,5540,6370,76,8,1,1,1990,NA,NA,NA,NA,2,15089,NA,45,46,2
1,2,NA,7700,3980,51,8,2,2,1990,NA,4,2,1,2,60354,25148,50,62,1
1,2,NA,230,8470,50,16,2,2,1990,NA,NA,NA,3,2,115822,43589,59,80,NA
1,2,NA,5165,6870,34,12,2,2,1990,NA,4,2,2,2,NA,NA,37,33,1
1,2,NA,8140,2870,46,12,1,2,1990,NA,4,2,2,2,36883,15089,38,35,1
4,1,NA,6260,770,38,9,1,3,1990,NA,NA,NA,3,3,12071,12071,28,23,NA
7,NA,NA,NA,NA,25,9,2,3,1990,NA,NA,NA,1,2,NA,NA,NA,NA,2
1,1,NA,4920,7070,25,15,1,2,1990,NA,NA,NA,1,2,115822,43589,49,69,NA
1,2,NA,8300,9070,31,8,1,3,1990,NA,NA,3,3,3,10059,10059,26,12,2
1,2,NA,4700,5580,23,12,2,1,1990,NA,4,2,2,2,115822,28501,38,39,1
8,NA,NA,NA,NA,30,12,1,2,1990,NA,NA,NA,NA,3,4694,NA,NA,NA,NA
2,2,NA,3600,8180,33,14,2,2,1990,NA,NA,NA,2,3,43589,25148,48,50,NA
1,2,NA,3245,8370,53,14,2,2,1990,NA,NA,NA,1,3,73766,36883,62,82,NA
7,NA,NA,NA,NA,39,9,2,2,1990,NA,NA,NA,3,2,12071,NA,NA,NA,2
6,NA,NA,NA,NA,19,10,1,2,1990,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,2,NA,4600,8470,35,15,2,2,1990,NA,NA,NA,2,3,73766,21795,35,28,NA
1,2,NA,5700,7470,36,13,2,2,1990,NA,NA,NA,2,3,28501,28501,47,55,NA
7,NA,NA,NA,NA,32,11,2,3,1990,NA,NA,NA,NA,3,15089,NA,NA,NA,NA
7,NA,NA,NA,NA,27,12,2,3,1990,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,2,NA,3800,9470,38,13,1,3,1990,NA,NA,NA,1,1,36883,36883,40,39,NA
2,2,NA,3600,8270,24,12,2,1,1990,NA,NA,NA,3,2,4694,NA,48,50,NA
1,2,NA,4700,5170,43,16,1,1,1990,NA,4,2,2,2,36883,31854,38,39,1
7,2,NA,5800,6970,47,11,2,1,1990,NA,NA,NA,3,2,43589,NA,47,48,NA
5,1,NA,4700,4970,68,16,1,1,1990,NA,NA,NA,NA,2,28501,NA,38,39,1
3,2,NA,2310,7860,64,16,2,1,1990,NA,NA,NA,1,1,115822,73766,61,85,NA
1,1,NA,350,8270,54,16,1,1,1990,NA,4,1,NA,2,115822,118255,64,86,1
1,2,NA,910,6870,36,18,1,1,1990,NA,4,2,2,1,115822,118255,45,60,1
1,2,NA,5840,6690,44,12,2,1,1990,NA,NA,NA,2,3,50295,28501,38,34,NA
1,2,NA,310,8680,28,12,1,1,1990,NA,1,2,3,3,43589,28501,39,40,2
7,NA,NA,NA,NA,22,10,2,1,1990,NA,NA,NA,2,2,60354,NA,NA,NA,2
1,2,NA,50,1680,38,14,2,1,1990,NA,3,3,1,3,50295,50295,53,73,2
4,2,NA,8320,1680,47,12,2,1,1990,NA,NA,NA,3,3,NA,NA,32,22,2
1,1,NA,4760,4770,21,12,1,3,1990,NA,4,3,2,NA,28501,15089,31,18,2
1,2,NA,2540,7290,33,12,2,1,1990,NA,NA,NA,1,1,25148,25148,48,50,NA
1,1,NA,6420,770,58,8,1,1,1990,NA,3,3,1,1,73766,73766,35,26,2
7,2,NA,3600,8270,36,12,2,1,1990,NA,NA,NA,1,2,21795,NA,48,50,NA
1,2,NA,6440,770,33,12,1,1,1990,NA,NA,NA,2,2,25148,25148,43,50,NA
2,2,NA,4720,5070,26,12,1,2,1990,NA,NA,NA,2,2,NA,NA,28,16,NA
4,2,NA,4400,8590,57,17,1,1,1990,NA,NA,NA,3,3,6035,6035,23,10,2
2,2,NA,4920,7070,31,14,2,1,1990,NA,4,1,2,2,115822,15089,49,69,1
1,2,NA,20,5170,61,12,1,2,1990,NA,4,3,1,1,115822,28501,50,65,1
2,2,NA,5120,4390,30,14,2,3,1990,NA,NA,NA,1,1,115822,25148,45,48,NA
2,2,NA,4600,7860,44,10,2,2,1990,NA,2,NA,1,3,2682,NA,35,28,2
1,2,NA,9000,9090,34,12,1,3,1990,NA,NA,NA,2,2,25148,15089,45,50,NA
7,2,NA,4230,8190,57,11,2,2,1990,NA,NA,NA,3,3,4694,NA,25,14,NA
3,1,NA,2100,7270,42,20,2,1,1990,NA,4,1,2,3,36883,15089,69,89,1
2,2,NA,2340,7890,62,17,2,1,1990,NA,4,1,1,1,115822,7377,38,32,1
1,2,NA,2200,7870,66,20,1,1,1990,NA,4,1,1,1,115822,118255,74,94,1
1,2,NA,2200,7860,48,18,2,1,1990,NA,4,1,2,1,115822,31854,74,94,2
7,2,NA,5700,7860,64,14,2,1,1990,NA,NA,NA,NA,1,115822,NA,47,55,1
1,2,NA,4700,7580,30,12,2,1,1990,NA,4,2,1,2,115822,43589,38,39,1
5,2,NA,9130,4090,72,13,1,1,1990,NA,NA,NA,NA,1,21795,NA,35,29,1
1,2,NA,430,9390,30,16,1,1,1990,NA,2,1,1,3,15089,15089,39,42,2
1,2,NA,4840,1990,24,12,2,1,1990,NA,4,1,2,3,43589,21795,43,51,2
7,2,NA,5700,9170,74,15,2,1,1990,NA,NA,NA,NA,1,21795,NA,47,55,NA
1,2,NA,5860,8370,32,14,2,2,1990,NA,NA,NA,2,3,15089,15089,32,26,NA
3,2,NA,310,8680,26,17,1,1,1990,NA,4,1,2,2,31854,31854,39,40,2
1,2,NA,5000,6870,32,14,1,3,1990,NA,4,3,3,3,50295,31854,46,54,2
1,2,NA,3730,7070,45,14,2,1,1990,NA,4,1,1,2,12071,12071,38,40,NA
1,2,NA,5700,7270,28,14,2,1,1990,NA,4,1,3,3,115822,50295,47,55,1
1,2,NA,2010,9480,50,18,1,1,1990,NA,3,2,4,1,25148,25148,54,68,1
1,2,NA,2010,8370,24,18,2,2,1990,NA,NA,NA,1,1,NA,NA,54,68,NA
4,2,NA,4110,8680,19,11,2,1,1990,NA,NA,NA,2,2,NA,NA,31,16,NA
3,2,NA,7720,3580,49,12,2,1,1990,NA,3,3,1,1,60354,36883,27,12,1
1,2,NA,4530,8660,56,12,1,1,1990,NA,NA,NA,2,2,36883,28501,29,18,NA
8,2,NA,310,8680,45,14,1,1,1990,NA,NA,NA,NA,3,12071,NA,39,40,2
2,2,NA,6240,4770,32,13,1,1,1990,NA,3,2,2,3,25148,25148,31,19,NA
1,2,NA,6520,770,29,14,1,1,1990,NA,4,1,1,1,115822,28501,35,29,1
1,2,NA,5700,7460,56,15,2,1,1990,NA,4,2,1,1,36883,36883,47,55,2
1,2,NA,4920,7070,56,12,2,1,1990,NA,4,1,2,3,115822,36883,49,69,2
7,2,NA,5850,5592,84,8,2,1,1990,NA,NA,NA,2,2,10059,NA,32,21,NA
1,2,NA,630,7580,26,14,1,1,1990,NA,4,1,1,2,73766,60354,47,59,2
1,2,NA,5700,6990,62,12,1,1,1990,NA,3,3,1,2,NA,NA,47,55,2
2,2,NA,4700,7970,65,12,2,1,1990,NA,NA,NA,2,2,28501,10059,38,39,NA
6,2,NA,8460,1670,31,11,2,1,1990,NA,NA,NA,NA,3,8718,8718,33,26,NA
5,2,NA,7700,2680,65,0,1,1,1990,NA,NA,NA,NA,2,60354,NA,50,62,NA
5,2,NA,6240,770,67,13,1,1,1990,NA,NA,NA,NA,2,31854,2682,31,19,1
1,1,NA,220,770,45,15,1,1,1990,NA,NA,NA,1,2,NA,NA,53,75,NA
5,2,NA,3740,9470,75,10,1,1,1990,NA,NA,NA,NA,1,NA,NA,59,80,NA
1,2,NA,4720,4970,20,13,2,1,1990,NA,NA,NA,1,1,28501,15089,28,16,NA
1,2,NA,7420,6680,37,12,2,1,1990,NA,4,2,4,2,115822,50295,33,28,1
5,2,NA,4760,1190,78,8,2,1,1990,NA,NA,NA,NA,2,15089,NA,31,18,2
3,2,NA,430,6290,45,15,1,2,1990,NA,NA,NA,2,3,10059,NA,39,42,2
1,2,NA,430,9370,38,18,1,2,1990,NA,3,2,3,1,60354,60354,39,42,1
7,2,NA,2340,7860,64,20,1,2,1990,NA,NA,NA,1,2,50295,NA,38,32,2
5,2,NA,1410,3370,69,16,1,1,1990,NA,NA,NA,NA,2,115822,NA,73,94,1
7,2,NA,2630,6870,45,16,2,1,1990,NA,NA,NA,NA,1,115822,NA,46,56,1
1,2,NA,2810,6470,34,18,1,1,1990,NA,NA,NA,1,1,115822,73766,54,70,NA
1,2,NA,4850,4380,62,16,1,1,1990,NA,NA,NA,1,1,115822,118255,45,55,NA
2,2,NA,5700,7870,47,16,2,1,1990,NA,4,2,1,2,73766,6035,47,55,1
1,2,NA,3230,7860,43,18,2,1,1990,NA,4,1,1,1,115822,43589,59,81,1
3,2,NA,2200,7870,62,20,1,1,1990,NA,NA,NA,2,2,115822,118255,74,94,NA
1,2,NA,1430,7390,34,14,1,1,1990,NA,4,3,2,2,60354,50295,63,91,1
1,2,NA,8740,3990,31,15,2,1,1990,NA,3,3,3,3,36883,36883,39,38,1
1,2,NA,8140,9370,60,12,2,1,1990,NA,4,3,1,2,36883,21795,38,35,1
1,2,NA,8030,2880,28,11,1,1,1990,NA,4,1,1,2,60354,43589,40,37,1
1,2,NA,2310,7860,40,16,1,1,1990,NA,4,2,2,2,43589,43589,61,85,1
1,2,NA,5700,6290,42,13,1,1,1990,NA,4,2,1,2,73766,60354,47,55,1
1,2,NA,3540,9480,29,15,2,3,1990,NA,1,1,1,1,60354,7377,53,66,1
2,2,NA,5860,9370,28,13,2,1,1990,NA,4,2,3,3,21795,21795,32,26,2
7,2,NA,4610,8370,73,8,2,1,1990,NA,NA,NA,2,2,7377,671,48,44,2
2,2,NA,4430,8590,21,13,1,3,1990,NA,NA,NA,2,2,50295,7377,18,6,NA
1,2,NA,2320,7860,47,20,1,1,1990,NA,4,2,1,1,NA,NA,64,91,1
1,2,NA,7340,7460,33,12,1,1,1990,NA,4,2,3,2,50295,50295,44,50,1
8,NA,NA,NA,NA,77,12,2,1,1990,NA,NA,NA,NA,2,8718,NA,NA,NA,1
5,2,NA,5120,7860,73,12,2,1,1990,NA,NA,NA,NA,2,10059,NA,45,48,1
1,2,NA,5940,6990,42,13,2,1,1990,NA,NA,NA,2,2,115822,NA,17,6,NA
2,2,NA,4510,8980,35,12,2,1,1990,NA,4,1,1,2,73766,12071,36,27,1
4,2,NA,5510,6380,18,11,1,2,1990,NA,NA,NA,3,3,NA,4694,29,18,2
1,2,NA,8250,1990,55,12,1,2,1990,NA,4,1,1,1,NA,NA,35,29,1
1,2,NA,5610,2870,65,6,1,2,1990,NA,4,3,1,2,25148,25148,35,27,1
1,2,NA,3060,8190,43,14,1,2,1990,NA,4,2,NA,2,28501,28501,80,95,1
5,2,NA,4110,8680,73,12,2,1,1990,NA,NA,NA,NA,3,50295,NA,31,16,NA
1,2,NA,430,9370,60,16,1,1,1990,NA,NA,NA,1,1,73766,73766,39,42,NA
7,2,NA,5700,9590,56,12,2,1,1990,NA,NA,NA,1,2,73766,NA,47,55,1
1,2,NA,1820,7860,44,20,1,1,1990,NA,NA,NA,2,1,NA,NA,71,94,NA
1,2,NA,7140,6070,52,13,1,1,1990,NA,NA,NA,2,1,NA,NA,56,81,NA
1,1,NA,4810,6990,54,12,2,1,1990,NA,4,2,2,2,115822,50295,47,61,1
5,2,NA,8350,5380,73,14,2,1,1990,NA,NA,NA,NA,3,18442,NA,42,46,NA
1,2,NA,5610,1880,62,8,1,1,1990,NA,NA,NA,1,2,36883,36883,35,27,NA
2,2,NA,4130,8680,20,13,1,1,1990,NA,4,2,2,2,60354,2682,16,5,1
7,2,NA,3300,8180,46,12,2,1,1990,NA,NA,NA,1,2,43589,NA,61,84,NA
1,2,NA,6520,7460,34,11,1,1,1990,NA,NA,NA,1,1,36883,25148,35,29,NA
1,2,NA,1010,6990,29,13,2,1,1990,NA,NA,NA,1,1,115822,43589,63,87,NA
1,2,NA,6200,770,41,12,1,1,1990,NA,NA,NA,2,2,60354,60354,49,63,NA
1,2,NA,5610,3980,31,14,2,1,1990,NA,4,2,2,2,73766,6035,35,27,1
2,2,NA,9640,4690,68,12,1,1,1990,NA,4,3,1,2,12071,2682,22,13,1
1,2,NA,5700,2190,58,12,2,1,1990,NA,4,3,1,2,60354,4694,47,55,1
5,2,NA,4130,2070,66,10,2,1,1990,NA,NA,NA,NA,2,43589,NA,16,5,1
1,2,NA,8210,2880,29,11,1,1,1990,NA,NA,NA,2,3,73766,43589,29,19,NA
1,2,NA,3255,8190,30,16,2,1,1990,NA,4,1,1,3,36883,36883,64,87,2
1,2,NA,4700,5180,42,14,1,1,1990,NA,2,2,1,3,28501,28501,38,39,3
7,2,NA,8710,1680,57,9,2,1,1990,NA,NA,NA,NA,2,18442,NA,28,11,1
1,2,NA,8410,1480,64,10,2,1,1990,NA,4,1,1,3,60354,15089,27,14,2
7,NA,NA,NA,NA,79,12,2,1,1990,NA,NA,NA,NA,1,8718,NA,NA,NA,NA
1,2,NA,5000,3180,48,14,2,1,1990,NA,NA,NA,2,2,73766,25148,46,54,NA
1,2,NA,4850,4560,31,14,1,1,1990,NA,4,1,3,2,43589,28501,45,55,2
1,2,NA,4020,8680,20,12,2,2,1990,NA,4,2,2,2,43589,8718,33,24,2
8,NA,NA,NA,NA,27,14,2,2,1990,NA,NA,NA,NA,3,12071,NA,NA,NA,3
7,2,NA,4710,6990,48,17,2,1,1990,NA,NA,NA,1,1,60354,21795,48,58,NA
2,1,NA,3060,7970,37,20,2,1,1990,NA,4,1,1,1,115822,73766,80,95,1
1,2,NA,8100,3170,24,12,1,1,1990,NA,NA,NA,1,3,28501,28501,36,27,NA
1,2,NA,5240,3570,24,16,2,1,1990,NA,NA,NA,1,1,60354,28501,31,20,NA
1,2,NA,3255,9480,57,16,2,1,1990,NA,4,1,1,3,36883,36883,64,87,2
5,2,NA,4020,8680,74,NA,1,3,1990,NA,NA,NA,NA,3,NA,NA,33,24,2
7,2,NA,7200,8770,30,11,1,1,1990,NA,NA,NA,4,3,31854,10059,45,50,NA
7,2,NA,5820,7860,60,12,2,1,1990,NA,NA,NA,1,1,36883,NA,37,29,1
1,2,NA,7700,8090,49,12,2,1,1990,NA,NA,NA,2,3,43589,43589,50,62,NA
7,2,NA,8930,1890,76,11,2,1,1990,NA,NA,NA,NA,1,21795,NA,32,21,NA
5,2,NA,5610,3570,71,6,1,1,1990,NA,NA,NA,NA,1,28501,15089,35,27,2
2,2,NA,5700,5790,37,16,2,1,1990,NA,3,2,1,2,115822,60354,47,55,1
1,1,NA,4800,7470,66,17,1,1,1990,NA,NA,NA,1,1,115822,118255,38,36,NA
1,2,NA,10,8190,72,14,2,1,1990,NA,4,NA,1,1,21795,NA,72,90,1
1,1,NA,2100,7270,35,19,1,1,1990,NA,NA,NA,2,2,115822,118255,69,89,NA
1,1,NA,710,7390,52,16,1,1,1990,NA,4,2,1,1,NA,NA,51,72,1
2,2,NA,5820,7870,63,13,2,1,1990,NA,4,3,2,2,NA,NA,37,29,1
2,2,NA,5410,5570,22,14,2,2,1990,NA,NA,NA,2,2,12071,12071,33,23,NA
4,2,NA,4020,9470,33,11,1,2,1990,NA,NA,NA,NA,1,NA,NA,33,24,2
5,2,NA,4920,7070,72,12,2,1,1990,NA,NA,NA,NA,2,73766,NA,49,69,NA
7,2,NA,5700,9370,58,18,2,1,1990,NA,NA,NA,NA,1,115822,NA,47,55,1
2,1,NA,310,8680,43,14,1,1,1990,NA,4,3,1,1,115822,118255,39,40,1
5,2,NA,1410,770,70,16,1,1,1990,NA,NA,NA,NA,1,115822,NA,73,94,1
5,2,NA,6200,770,79,14,1,1,1990,NA,NA,NA,NA,1,NA,NA,49,63,1
1,2,NA,800,4670,24,17,1,1,1990,NA,4,1,3,2,73766,NA,60,85,1
3,2,NA,4840,9370,52,16,2,3,1990,NA,4,NA,1,2,115822,36883,43,51,1
1,2,NA,5700,9590,57,15,1,1,1990,NA,4,2,1,2,60354,60354,47,55,2
3,2,NA,5120,7390,68,16,2,1,1990,NA,4,NA,1,2,50295,10059,45,48,1
1,2,NA,2825,6870,66,20,1,1,1990,NA,4,3,1,2,73766,73766,46,57,2
1,2,NA,2825,7470,41,16,2,2,1990,NA,NA,NA,2,3,36883,36883,46,57,NA
5,2,NA,410,7070,78,16,2,1,1990,NA,NA,NA,NA,1,36883,NA,41,44,NA
3,2,NA,850,9590,37,17,1,1,1990,NA,3,2,2,2,115822,118255,63,84,2
6,NA,NA,NA,NA,22,14,1,1,1990,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,84,8,2,2,1990,NA,NA,NA,NA,2,6035,NA,NA,NA,NA
5,2,NA,4230,7690,80,5,2,2,1990,NA,NA,NA,NA,2,15089,NA,25,14,NA
6,NA,NA,NA,NA,22,14,1,2,1990,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,2,NA,6220,770,50,10,1,2,1990,NA,NA,NA,2,2,NA,NA,39,36,NA
1,2,NA,7220,770,49,12,1,1,1990,NA,4,3,1,2,43589,43589,45,50,1
1,2,NA,3600,9470,27,15,2,2,1990,NA,4,2,2,1,115822,28501,48,50,1
5,2,NA,1360,9570,64,16,1,2,1990,NA,NA,NA,NA,1,115822,NA,65,91,1
1,2,NA,3600,8190,36,12,2,2,1990,NA,NA,NA,1,2,36883,36883,48,50,NA
1,2,NA,6420,7370,22,10,1,1,1990,NA,NA,NA,1,2,21795,21795,35,26,NA
1,2,NA,4700,8180,35,15,1,1,1990,NA,NA,NA,1,1,115822,60354,38,39,NA
6,2,NA,5120,6870,23,13,1,2,1990,NA,NA,NA,NA,2,6035,NA,45,48,2
2,2,NA,6200,770,28,11,1,1,1990,NA,3,2,2,3,28501,7377,49,63,2
1,2,NA,4110,8680,39,12,2,1,1990,NA,NA,NA,1,3,50295,7377,31,16,NA
1,2,NA,9130,1370,42,14,1,1,1990,NA,2,2,2,3,60354,21795,35,29,2
1,2,NA,5000,4170,57,12,1,1,1990,NA,4,3,1,1,73766,28501,46,54,1
1,1,NA,6230,770,20,6,1,1,1990,NA,NA,NA,1,1,115822,118255,44,49,NA
1,2,NA,2540,7860,59,15,2,2,1990,NA,2,2,2,3,36883,15089,48,50,1
1,2,NA,5140,9180,41,14,2,1,1990,NA,4,2,2,1,115822,43589,40,32,1
1,2,NA,5700,770,60,13,1,1,1990,NA,NA,NA,2,2,43589,15089,47,55,NA
1,2,NA,8030,6680,36,14,1,1,1990,NA,3,3,1,1,43589,43589,40,37,1
1,2,NA,7410,570,36,12,1,1,1990,NA,NA,NA,2,2,50295,50295,46,48,NA
2,1,NA,6230,770,35,10,1,1,1990,NA,1,1,4,3,12071,12071,44,49,1
4,2,NA,9130,2570,43,4,1,1,1990,NA,NA,NA,2,3,25148,25148,35,29,NA
1,2,NA,1050,770,37,18,2,1,1990,NA,4,3,1,1,115822,60354,48,55,1
5,2,NA,2310,7860,78,19,1,1,1990,NA,NA,NA,NA,2,73766,NA,61,85,1
1,2,NA,1550,770,34,14,1,1,1990,NA,4,2,2,2,50295,50295,50,63,1
1,2,NA,4710,4585,38,16,1,1,1990,NA,NA,NA,2,2,50295,50295,48,58,NA
1,2,NA,2320,7860,52,19,1,1,1990,NA,3,2,2,2,60354,43589,64,91,1
1,2,NA,1410,3390,28,12,1,1,1990,NA,NA,NA,2,3,73766,36883,73,94,NA
7,2,NA,4720,4970,65,12,2,1,1990,NA,NA,NA,1,1,60354,NA,28,16,1
2,1,NA,4900,4790,48,13,2,1,1990,NA,4,2,2,2,60354,2682,41,37,1
1,1,NA,9130,6170,50,12,1,2,1990,NA,4,3,1,2,50295,NA,35,29,1
5,2,NA,9620,6290,79,5,1,1,1990,NA,NA,NA,NA,2,NA,NA,25,16,1
7,2,NA,8350,5280,52,12,2,2,1990,NA,NA,NA,NA,3,7377,NA,42,46,1
1,2,NA,5520,9470,40,15,2,2,1990,NA,4,1,2,3,25148,25148,32,24,1
5,2,NA,6440,770,69,2,1,2,1990,NA,NA,NA,NA,2,NA,NA,43,50,NA
5,1,NA,4510,8980,74,9,2,1,1990,NA,NA,NA,NA,2,18442,NA,36,27,1
3,2,NA,5310,9570,58,13,2,1,1990,NA,NA,NA,3,2,18442,7377,50,65,NA
1,2,NA,8640,2290,28,16,1,1,1990,NA,NA,NA,1,2,21795,21795,31,22,NA
1,2,NA,6260,770,41,10,1,3,1990,NA,3,1,2,2,15089,15089,28,23,2
7,NA,NA,NA,NA,22,9,2,1,1990,NA,NA,NA,3,2,21795,NA,NA,NA,2
2,2,NA,4760,5380,22,14,2,1,1990,NA,NA,NA,2,2,18442,6035,31,18,NA
7,2,NA,4720,5790,29,12,2,1,1990,NA,NA,NA,1,2,21795,671,28,16,2
1,2,NA,5700,7270,42,16,2,2,1990,NA,3,2,2,3,43589,43589,47,55,2
1,1,NA,4600,8470,49,12,2,1,1990,NA,4,1,2,3,43589,7377,35,28,1
1,2,NA,10,6970,34,17,1,1,1990,NA,NA,NA,1,1,115822,118255,72,90,NA
1,2,NA,2540,7860,37,13,2,1,1990,NA,4,1,2,1,115822,10059,48,50,1
7,2,NA,540,6990,41,12,2,1,1990,NA,NA,NA,2,2,115822,18442,46,53,1
1,1,NA,4830,7670,54,16,2,1,1990,NA,4,1,1,2,115822,28501,38,35,1
1,2,NA,230,7860,63,19,2,1,1990,NA,4,3,1,1,73766,60354,59,80,1
1,2,NA,5860,6990,62,12,2,1,1990,NA,3,3,1,3,NA,28501,32,26,2
1,2,NA,4020,8190,30,11,1,1,1990,NA,NA,NA,3,3,NA,15089,33,24,NA
5,2,NA,9130,770,79,9,1,1,1990,NA,NA,NA,NA,3,15089,NA,35,29,2
5,2,NA,5860,6990,66,14,2,1,1990,NA,NA,NA,NA,2,25148,NA,32,26,1
1,2,NA,4650,9290,53,13,2,1,1990,NA,NA,NA,2,3,43589,36883,18,6,NA
7,2,NA,8965,1080,85,12,2,1,1990,NA,NA,NA,1,2,43589,NA,35,28,1
1,2,NA,7430,3960,31,12,1,1,1990,NA,4,2,1,2,43589,43589,33,23,2
1,2,NA,630,1480,38,12,2,1,1990,NA,4,3,4,2,73766,73766,47,59,2
1,2,NA,6355,770,22,12,1,1,1990,NA,NA,NA,1,1,43589,36883,49,54,NA
1,2,NA,9130,6170,30,12,1,1,1990,NA,3,1,1,3,43589,28501,35,29,2
5,2,NA,7020,6680,67,12,1,1,1990,NA,NA,NA,NA,1,43589,NA,38,33,1
5,1,NA,310,8680,74,12,1,1,1990,NA,NA,NA,NA,1,50295,NA,39,40,1
8,2,NA,9130,1270,58,12,1,1,1990,NA,NA,NA,NA,3,8718,NA,35,29,2
7,2,NA,2145,7270,48,17,2,1,1990,NA,NA,NA,2,1,115822,NA,52,64,1
1,1,NA,6230,770,50,15,1,1,1990,NA,4,2,1,1,115822,15089,44,49,1
1,2,NA,3640,7980,30,14,2,1,1990,NA,3,2,1,2,NA,15089,48,56,1
6,2,NA,4810,6990,20,13,2,1,1990,NA,NA,NA,NA,1,NA,NA,47,61,1
6,2,NA,5700,6870,40,14,2,1,1990,NA,NA,NA,NA,2,73766,NA,47,55,1
2,2,NA,735,4080,71,16,1,1,1990,NA,4,2,1,2,31854,12071,57,79,2
7,2,NA,4020,7860,29,13,2,1,1990,NA,NA,NA,2,2,10059,NA,33,24,2
1,2,NA,6230,770,56,11,1,1,1990,NA,3,3,1,3,115822,60354,44,49,1
1,2,NA,3255,2190,49,16,2,1,1990,NA,4,1,1,3,115822,60354,64,87,1
1,2,NA,2200,7870,68,20,2,1,1990,NA,4,3,1,1,115822,118255,74,94,1
1,1,NA,4920,7070,50,16,2,1,1990,NA,4,1,1,1,31854,28501,49,69,1
1,2,NA,430,3580,47,16,1,1,1990,NA,3,3,3,1,115822,60354,39,42,1
1,2,NA,3500,8190,42,16,2,2,1990,NA,NA,NA,2,3,NA,NA,69,88,1
5,2,NA,20,9370,61,16,1,2,1990,NA,NA,NA,NA,1,NA,NA,50,65,1
1,2,NA,2320,7860,53,18,1,1,1990,NA,4,3,3,2,115822,43589,64,91,1
1,2,NA,9260,6080,49,12,1,1,1990,NA,1,3,2,3,28501,28501,42,44,2
1,2,NA,1920,2290,28,18,2,1,1990,NA,3,3,2,2,25148,21795,57,84,2
7,2,NA,5860,1770,56,12,2,1,1990,NA,NA,NA,2,2,60354,NA,32,26,NA
1,2,NA,5700,7280,24,13,2,1,1990,NA,4,2,3,1,28501,28501,47,55,2
7,2,NA,5340,6870,25,16,2,1,1990,NA,NA,NA,2,2,21795,21795,42,35,2
1,2,NA,8000,4170,43,7,1,1,1990,NA,NA,NA,2,3,36883,28501,28,19,NA
5,2,NA,9640,1770,75,11,2,1,1990,NA,NA,NA,NA,2,4694,NA,22,13,NA
4,2,NA,6230,770,22,12,1,1,1990,NA,NA,NA,2,2,36883,36883,44,49,3
1,2,NA,7150,3570,46,12,1,1,1990,NA,1,3,4,3,60354,36883,40,37,1
1,2,NA,1410,3390,43,16,1,1,1990,NA,4,2,2,2,60354,60354,73,94,1
1,2,NA,2910,9470,31,13,1,1,1990,NA,4,2,4,3,73766,31854,48,56,2
1,2,NA,5400,8190,38,13,2,1,1990,NA,4,2,2,2,21795,21795,38,29,2
1,2,NA,5260,7870,39,14,2,1,1990,NA,4,1,2,3,25148,15089,36,26,2
2,2,NA,2060,9160,47,16,2,1,1990,NA,2,3,1,2,15089,2682,31,28,2
1,2,NA,8350,5170,28,16,2,1,1990,NA,3,2,2,3,28501,2682,42,46,2
2,2,NA,2060,9160,27,16,1,1,1990,NA,1,1,1,2,4694,4694,31,28,2
1,2,NA,1540,770,64,12,1,1,1990,NA,NA,NA,1,2,60354,50295,47,64,NA
5,2,NA,20,570,67,16,1,1,1990,NA,NA,NA,NA,1,115822,NA,50,65,1
